time_period,time_identifier,geographic_level,country_code,country_name,old_la_code,new_la_code,la_name,school_ukprn,school_urn,school_laestab,school_name,school_type,school_phase,trust,academy,basic_entitlement_primary,basic_entitlement_ks3,basic_entitlement_ks4,basic_entitlement_total_funding,fsm_funding,fsm6_funding,idaci_band_f,idaci_band_e,idaci_band_d,idaci_band_c,idaci_band_b,idaci_band_a,idaci_funding,deprivation_total_funding,eal_total_funding,mobility_total_funding,prior_attainment_total_funding,lump_sum_total_funding,sparsity_total_funding,london_fringe,split_site_total_funding,national_non_domestic_rates_funding,pfi_total_funding,exceptional_factors_total_funding,minimum_per_pupil_funding,total_schools_block_allocation_(pre_mfg),mfg_protection_or_capping_scaling,total_schools_block_allocation_(post_mfg),notional_sen,total_number_of_pupils,allocation_per_pupil,pupil_premium,pupil_premium_pupils,universal_infant_free_school_meals_grant,pe_&_sport_premium,pe_&_sport_premium_pupils,coronavirus_recovery_premium_funding,teachers_pay_additional_grant,mainstream_schools_additional_grant,national_tutoring_programme,total_funding
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10000222,101247,3014703,All Saints Catholic School and Technology College,Voluntary aided school,Secondary,z,No,0,3716479,2792472,6508951,137924,350943,87965,224591,125448,90436,21575,1057,551072,1039940,38984,0,422623,145251,0,0,0,0,0,0,0,8155748,0,8155748,667057,1170,6970.724786,309465,299,z,z,z,82524,86830,291208,20587.5,8946362.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10000527,101241,3014021,"Barking Abbey School, A Specialist Sports and Humanities College",Community school,Secondary,z,No,0,5828837,4302077,10130914,227680,578561,79832,126747,191368,163588,5799,0,567334,1373575,79916,0,659132,145251,0,0,200000,438864,0,0,0,13027653,0,13027653,1062253,1822,7150.193743,508185,491,z,z,z,164173,135702,455155,33412.5,14324280.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10071309,101202,3012024,Beam Primary School,Community school,Primary,z,No,2250199,0,0,2250199,76801,120002,20097,126778,24466,9804,0,0,181145,377948,156015,14202,254174,145251,0,0,0,64372,0,0,0,3262160,0,3262160,352575,564,5783.971631,216795,149,46128,20740,474,21605,29807,98865,9450,3705550
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10071301,101231,3012068,Becontree Primary School,Community school,Primary,z,No,1687649,0,0,1687649,52835,81601,27666,46390,54424,4902,579,0,133961,268397,73062,7262,204432,145251,0,0,0,38304,0,0,0,2424357,0,2424357,271650,423,5731.340426,146955,101,33510,19610,361,18555,22359,74160,6817.5,2746323.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10089864,148932,3014008,Brook Sixth Form and Academy,University technical college,Secondary,PARTNERSHIP LEARNING,Yes,0,0,161104,161104,4358,15195,2281,4545,3518,2315,0,0,12658,32210,5328,586,15283,145251,0,0,0,0,0,0,0,359763,0,359763,25059,27,13324.55556,13455,13,z,z,z,6000,3936,13182,877.5,397213.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10029207,136028,3014704,Dagenham Park CofE School,Voluntary controlled school,Secondary,z,No,0,3790597,3108713,6899310,250013,614794,73809,287055,202789,81860,6632,1056,653202,1518008,142419,24578,568469,145251,0,0,0,0,0,0,0,9298035,0,9298035,1000873,1237,7516.600647,539235,521,z,z,z,163841,102453,343811,34425,10481800
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10071953,101188,3012005,Dorothy Barley Infants' School,Community school,Primary,z,No,1033336,0,0,1033336,26690,39200,4192,23923,60148,16951,581,0,105795,171685,72083,0,101852,145251,0,0,0,51338,0,0,0,1575545,1965,1577510,134797,259,6090.772201,71295,49,45847,17750,175,7250,13830,45876,3105,1782463
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10045428,140687,3012002,Dorothy Barley Junior Academy,Academy sponsor led,Primary,REACH2 ACADEMY TRUST,Yes,1356503,0,0,1356503,63184,100001,6544,33142,73113,19120,0,763,132682,295868,32909,0,107349,145251,0,0,0,0,0,0,0,1937878,14695,1952574,188941,340,5742.864706,181875,125,z,19390,339,20729,19813,65784,8302.5,2268467.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10002138,101243,3014023,Eastbrook School,Community school,All-through,z,No,837840,2456476,2613467,5907783,204803,484829,47706,238511,109211,108030,9441,0,512899,1202531,211091,93531,618417,145251,0,0,0,601160,0,0,0,8779764,18561,8798325,963233,1112,7912.16277,474000,432,17807,17830,183,132108,85804,287396,28552.5,9841822.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10002139,101244,3014024,Eastbury Community School,Community school,All-through,z,No,1671690,4537069,3538324,9747084,267600,626034,130036,204836,201619,100084,21568,0,658142,1551777,294317,35105,889996,145251,0,0,0,308019,683626,0,0,13655175,0,13655175,1336814,1869,7306.139647,606735,557,41642,19570,357,153952,132856,444869,37732.5,15092531.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10056131,142699,3012006,Eastbury Primary School,Academy converter,Primary,PARTNERSHIP LEARNING,Yes,2984306,0,0,2984306,97500,155202,32103,73080,72898,13617,1157,0,192856,445557,214282,28010,290204,145251,0,0,0,0,0,0,0,4107610,0,4107610,416555,748,5491.457219,280815,193,63794,22440,644,30402,38872,128906,12622.5,4685461.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10072898,101228,3012065,Five Elms Primary School,Community school,Primary,z,No,1635783,0,0,1635783,73533,115201,23286,63385,12513,17473,11023,0,127679,316414,90706,13297,106204,145251,0,0,0,45486,0,0,0,2353140,0,2353140,200571,410,5739.365854,208065,143,28743,19620,362,24409,23306,77361,8977.5,2743621.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10071952,101203,3012030,Furze Infant School,Community school,Primary,z,No,1635783,0,0,1635783,32137,48801,25641,4778,3003,5460,1160,0,40042,120979,84019,0,149058,145251,0,0,0,45486,0,0,0,2180576,80241,2260817,189527,410,5514.187805,87300,60,94639,18730,273,9135,20386,67565,3915,2562487
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10076696,131775,3012075,Gascoigne Primary School,Community school,Primary,z,No,3997693,0,0,3997693,142164,228803,19372,193766,23538,80856,21477,0,339009,709976,337037,33114,392186,145251,0,0,160000,242738,0,0,0,6017996,0,6017996,577670,1002,6005.984032,414675,285,84544,24630,863,48788,52484,174064,18157.5,6835338.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10075197,136431,3013507,George Carey Church of England Primary School,Voluntary aided school,Primary,z,No,2393828,0,0,2393828,82248,129602,20097,149656,5492,15796,1736,0,192777,404627,66841,9975,226392,145251,0,0,0,13747,0,0,0,3260661,520192,3780854,332317,600,6301.423333,235710,162,51175,21180,518,30428,31735,105261,10665,4267008
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10078205,130919,3012072,Godwin Primary School,Community school,Primary,z,No,1635783,0,0,1635783,62639,95201,22446,82612,19473,5992,2894,0,133416,291257,79456,3646,129627,145251,0,0,0,44954,0,0,0,2329973,0,2329973,208547,410,5682.860976,170235,117,32949,19560,356,21470,22391,74293,7965,2678836
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10047206,140962,3014003,Goresbrook School,Free schools,All-through,UNITED LEARNING TRUST,Yes,1731536,1800004,1270933,4802473,181382,367664,58208,209212,108121,53198,8034,0,436774,985820,139534,57524,354909,145251,0,0,0,0,0,0,0,6485510,0,6485510,629432,987,6570.932118,427680,356,29023,19840,384,80365,68262,228192,24502.5,7363374.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10071308,101206,3012033,Grafton Primary School,Community school,Primary,z,No,3375298,0,0,3375298,119832,188802,42804,39400,71899,29958,14468,0,198529,507163,106461,6764,361645,145251,0,0,0,48678,0,0,0,4551259,49174,4600433,515962,846,5437.864066,339015,233,67159,23270,727,37358,44282,146860,14782.5,5273159.5
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10056974,142908,3014006,Greatfields School,Free schools,Secondary,PARTNERSHIP LEARNING,Yes,0,3097066,2237558,5334624,168884,419682,67237,184547,65218,125792,36188,0,478981,1067547,162911,0,567476,145251,0,0,0,0,0,0,0,7277809,29408,7307216,861759,960,7611.683333,345690,334,z,z,z,92460,72474,243207,23085,8084132
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10071303,101229,3012066,Henry Green Primary School,Community school,Primary,z,No,1667700,0,0,1667700,57192,87201,39150,72445,999,4358,0,0,116951,261344,92217,2059,138289,145251,0,0,0,38038,0,0,0,2344898,45970,2390869,210486,418,5719.782297,158595,109,37015,19570,357,15950,22436,74429,7425,2726289
202324,Financial year,School,E92000001,England,301,E09000002,Barking and Dagenham,10076693,131844,3012073,Hunters Hall Primary School,Community school,Primary,z,No,2345952,0,0,2345952,77346,119201,9918,102948,45936,26145,4051,0,188998,385545,115097,0,226562,145251,0,0,0,42294,0,0,0,3260700,18297,3278997,324836,588,5576.52551,213885,147,54540,21050,505,23412,30718,101870,9787.5,3734259.5
